order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-103246,2026-05-28,East,Bhubaneswar,Cotton Bedsheet Set,Home & Kitchen,2,1386,2772,CUST-49831,Website
UK-2026-104384,2026-06-24,East,Kolkata,Yoga Mat Pro,Sports,1,1173,1173,CUST-41537,Website
UK-2026-101716,2026-03-20,East,Guwahati,Robot Vacuum R7,Home & Kitchen,1,18122,18122,CUST-97554,Website
UK-2026-104429,2026-06-29,South,Hyderabad,43-inch Smart TV,Electronics,1,24871,24871,CUST-78005,Marketplace
UK-2026-103232,2026-05-26,South,Hyderabad,Cotton Bedsheet Set,Home & Kitchen,1,1362,1362,CUST-73346,App
UK-2026-104106,2026-06-10,South,BLR,Gym Gloves,Sports,2,493,986,CUST-48673,Website
UK-2026-102173,2026-03-21,South,Bengaluru,Modern Wall Clock,Home & Kitchen,1,814,814,CUST-30121,App
UK-2026-101782,2026-03-11,Central,Nagpur,Cotton Bedsheet Set,Home & Kitchen,1,1457,1457,CUST-52993,Website
UK-2026-104503,2026-06-10,South,Bengaluru,Noise-Cancelling Headphones,Electronics,1,8868,8868,CUST-24188,Marketplace
UK-2026-103911,2026-05-07,West,Mumbai,Smart Watch X2,Electronics,1,4699,4699,CUST-58174,Website
UK-2026-100675,2026-01-22,South,Bengaluru,Cotton Kurta Set,Fashion,2,1342,2684,CUST-95759,App
UK-2026-102441,2026-04-04,North,Chandigarh,Air Fryer 5L,Home & Kitchen,1,5403,5403,CUST-75818,Website
UK-2026-104262,2026-06-27,East,Kolkata,Bluetooth Speaker Mini,Electronics,0,1538,1538,CUST-53037,App
UK-2026-104178,2026-06-12,South,Kochi,Wireless Earbuds Pro,Electronics,1,2874,2874,CUST-26882,Marketplace
UK-2026-102842,2026-04-19,South,Bengaluru,Denim Jacket,Fashion,1,2260,2260,CUST-61490,Marketplace
UK-2026-100673,2026-01-04,West,Mumbai,CRICKET BAT ENGLISH WILLOW,Sports,2,8895,17790,CUST-66670,Website
UK-2026-100956,2026-02-01,North,Chandigarh,Smart Watch X2,Electronics,1,4487,4487,CUST-22791,Website
UK-2026-100121,2026-01-18,East,Patna,Non-Stick Cookware Set,Home & Kitchen,1,2807,2807,CUST-49529,App
UK-2026-103321,2026-05-29,West,Surat,Power Bank 20000mAh,Electronics,1,1769,1769,CUST-86706,Marketplace
UK-2026-104504,2026-06-17,South,Chennai,Badminton Racket Set,Sports,1,2564,2564,CUST-36818,App
UK-2026-102942,2026-04-26,East,Patna,Foldable Treadmill T2,Sports,1,26107,26107,CUST-77458,App
UK-2026-102439,2026-04-23,North,Gurugram,Cricket Bat English Willow,Sports,1,9226,9226,CUST-63648,App
UK-2026-100099,2026-01-08,South,Kochi,Cotton Kurta Set,Fashion,1,1291,1291,CUST-73084,App
UK-2026-103980,2026-05-31,North,Chandigarh,Cotton Kurta Set,Fashion,1,1308,1308,CUST-53360,App
UK-2026-101102,2026-02-22,South,Chennai,Matte Lipstick Set,Beauty,1,936,936,CUST-76457,Website
UK-2026-104741,2026-06-25,South,Chennai,Smart Watch X2,Electronics,2,4579,9158,CUST-45535,Website
UK-2026-104716,2026-06-12,South,Hyderabad,Ultrabook Air 14,Electronics,2,29203,58406,CUST-68919,Marketplace
UK-2026-100785,2026-02-10,Central,Bhopal,Leather Wallet,Fashion,2,894,1788,CUST-98932,Marketplace
UK-2026-102394,2026-04-13,West,Pune,Smart Watch X2,Electronics,1,4410,4410,CUST-48647,App
UK-2026-100412,2026-01-24,North,Noida,Running Sneakers,Fashion,2,2673,5346,CUST-36504,App
UK-2026-100861,2026-02-06,South,Kochi,Noise-Cancelling Headphones,Electronics,1,8721,8721,CUST-82203,App
UK-2026-100047,"Jan 5, 2026",South,Hyderabad,Mixer Grinder 750W,Home & Kitchen,1,3171,3171,CUST-97058,Website
UK-2026-104051,2026-06-24,West,Ahmedabad,Bluetooth Speaker Mini,Electronics,1,1535,1535,CUST-12690,Website
UK-2026-102181,2026-03-04,North,Delhi,Leather Wallet,Fashion,1,876,876,CUST-27765,Website
UK-2026-101637,2026-03-31,North,Delhi,Robot Vacuum R7,Home & Kitchen,1,19429,19429,CUST-42166,App
UK-2026-100987,2026-02-08,West,Surat,Bluetooth Speaker Mini,Electronics,1,1525,1525,CUST-69911,Marketplace
UK-2026-102364,2026-04-14,East,Patna,Badminton Racket Set,Sports,1,2575,2575,CUST-84263,Website
UK-2026-100690,2026-01-03,West,Bombay,Noise-Cancelling Headphones,Electronics,4,9172,36688,CUST-71026,App
UK-2026-102399,2026-04-23,Central,Raipur,Formal Shirt,Fashion,1,1050,1050,CUST-15053,App
UK-2026-104519,2026-06-01,West,Mumbai,Beard Grooming Kit,Beauty,2,963,1926,CUST-25188,App
UK-2026-102350,2026-04-25,West,Ahmedabad,Smart Watch X2,Electronics,2,4643,9286,CUST-88090,App
UK-2026-104806,2026-06-08,South,Chennai,Formal Shirt,Fashion,1,1096,1096,CUST-95433,Marketplace
UK-2026-102472,2026-04-28,,Bhubaneswar,43-inch Smart TV,Electronics,1,26323,26323,CUST-17708,Website
UK-2026-101646,2026-03-21,East,Kolkata,Smart Watch X2,Electronics,2,4413,8826,CUST-86124,Marketplace
UK-2026-104769,2026-06-09,East,Patna,Denim Jacket,Fashion,2,2303,4606,CUST-36192,App
UK-2026-100056,2026-01-11,Central,Indore,Mirrorless Camera Lite,Electronics,1,28639,28639,CUST-16556,App
UK-2026-102137,2026-03-07,North,Chandigarh,Cycling Helmet,Sports,1,1661,1661,CUST-32241,App
UK-2026-104104,2026-06-29,South,Hyderabad,Power Bank 20000mAh,Electronics,1,1859,1859,CUST-79565,Website
UK-2026-103886,2026-05-12,North,Gurugram,Robot Vacuum R7,Home & Kitchen,1,18612,18612,CUST-74495,App
UK-2026-102562,2026-04-11,Central,Bhopal,Power Bank 20000mAh,Electronics,2,1822,3644,CUST-88001,App
UK-2026-103605,2026-05-27,North,Noida,Cotton Bedsheet Set,Home & Kitchen,1,1460,1460,CUST-69367,Website
UK-2026-100596,2026-01-18,West,Ahmedabad,Beard Grooming Kit,Beauty,1,999,999,CUST-77873,Website
UK-2026-103848,2026-05-24,West,Ahmedabad,Mirrorless Camera Lite,Electronics,1,28048,28048,CUST-85850,Marketplace
UK-2026-102841,2026-04-07,South,Hyderabad,Badminton Racket Set,Sports,1,2426,2426,CUST-53943,App
UK-2026-101967,2026-03-24,North,Chandigarh,Mixer Grinder 750W,Home & Kitchen,2,3302,6604,CUST-94925,Marketplace
UK-2026-101015,2026-02-11,East,Kolkata,Power Bank 20000mAh,Electronics,2,1807,3614,CUST-23029,Website
UK-2026-100623,21/01/2026,West,Ahmedabad,Leather Wallet,Fashion,1,942,942,CUST-77142,Website
UK-2026-103939,2026-05-09,West,Ahmedabad,Denim Jacket,Fashion,1,2192,2192,CUST-34916,App
UK-2026-103715,2026-05-28,South,Kochi,Slim Fit Jeans,Fashion,1,1549,1549,CUST-77346,App
UK-2026-103075,08-04-26,West,Surat,Noise-Cancelling Headphones,Electronics,1,8910,8910,CUST-68587,Website
UK-2026-101283,2026-02-01,North,Noida,Silk Saree,Fashion,1,3650,3650,CUST-19329,App
UK-2026-101932,2026-03-31,South,Bengaluru,43-inch Smart TV,Electronics,2,27178,54356,CUST-63707,App
UK-2026-104207,2026-06-23,North,Gurugram,Electric Kettle 1.5L,Home & Kitchen,1,1140,1140,CUST-73084,Website
UK-2026-101269,2026-02-23,West,Ahmedabad,43-inch Smart TV   ,Electronics,1,25527,25527,CUST-66896,Marketplace
UK-2026-100119,2026-01-21,South,Chennai,Cotton Bedsheet Set,Home & Kitchen,1,1416,1416,CUST-73346,Website
UK-2026-104038,2026-06-19,South,Chennai,Smart Watch X2,Electronics,1,4676,4676 INR,CUST-72610,Marketplace
UK-2026-100436,2026-01-14,East,Bhubaneswar,Football Size 5,Sports,2,896,1792,CUST-78672,App
UK-2026-103327,2026-05-26,North,Chandigarh,Yoga Mat Pro,Sports,2,1215,2430,CUST-36369,Marketplace
UK-2026-103190,2026-05-07,East,Bhubaneswar,Modern Wall Clock,Home & Kitchen,1,788,788,CUST-48122,App
UK-2026-101174,2026-02-25,South,Chennai,Cotton Kurta Set,Fashion,1,1310,1310,CUST-54109,Website
UK-2026-102150,2026-03-07,West,Pune,Noise-Cancelling Headphones,Electronics,1,9102,9102,CUST-73757,App
UK-2026-102584,2026-04-17,North,Gurugram,Leather Wallet,Fashion,1,926,926,CUST-43452,Marketplace
UK-2026-103755,2026-05-28,East,Guwahati,Makeup Brush Set,Beauty,1,1260,1260,CUST-37241,Website
UK-2026-104687,2026-06-04,South,Chennai,Cotton Kurta Set,Fashion,1,1350,1350,CUST-33919,Website
UK-2026-104335,2026-06-13,Central,Nagpur,Noise-Cancelling Headphones,Electronics,1,8850,8850,CUST-43426,Website
UK-2026-104316,2026-06-09,East,Bhubaneswar,Cotton Bedsheet Set,Home & Kitchen,1,1372,1372,CUST-96110,App
UK-2026-102812,2026-04-01,West,Surat,Ultrabook Air 14,Electronics,1,30682,30682,CUST-43420,App
UK-2026-104637,2026-06-23,Central,Bhopal,Robot Vacuum R7,Home & Kitchen,4,19922,79688,CUST-40857,App
UK-2026-101555,2026-03-17,South,Madras,Ultrabook Air 14,Electronics,1,29553,29553,CUST-33527,Marketplace
UK-2026-101616,2026-03-18,South,Kochi,Denim Jacket,Fashion,1,2141,2141,CUST-98951,App
UK-2026-103072,2026-04-19,South,Hyderabad,Electric Kettle 1.5L,Home & Kitchen,2,1124,2248,CUST-28313,App
UK-2026-104764,2026-06-17,South,Bengaluru,Power Bank 20000mAh,Electronics,2,1790,3580,CUST-41285,Marketplace
UK-2026-103148,2026-05-30,South,Chennai,Noise-Cancelling Headphones,Electronics,2,8734,17468,CUST-45418,Website
UK-2026-102032,2026-03-29,South,Bengaluru,Face Wash Combo,Beauty,1,433,433,CUST-27502,App
UK-2026-104917,2026-06-10,West,Surat,Dinner Set 24pc,Home & Kitchen,2,2397,4794,CUST-47370,App
UK-2026-101154,2026-02-16,East,Kolkata,Cricket Bat English Willow,Sports,1,8555,8555,CUST-62829,Website
UK-2026-100871,2026-02-28,South,Hyderabad,Power Bank 20000mAh,Electronics,1,1888,1888,CUST-93800,Marketplace
UK-2026-100372,2026-01-07,West,Pune,Adjustable Dumbbells 15kg,Sports,1,4844,4844,CUST-15226,App
UK-2026-100593,2026-01-13,South,Kochi,Adjustable Dumbbells 15kg,Sports,1,5237,5237,CUST-81646,App
UK-2026-101855,2026-03-12,North,Delhi,Cotton Kurta Set,Fashion,1,1236,1236,CUST-61457,App
UK-2026-104086,2026-06-25,East,Patna,Air Fryer 5L,Home & Kitchen,2,5315,10630,CUST-31468,App
UK-2026-101009,2026-02-18,North,Noida,Robot Vacuum R7,Home & Kitchen,2,19844,39688,CUST-99360,App
UK-2026-103716,2026-05-15,North,Noida,Cycling Helmet,Sports,1,1655,1655,CUST-69356,App
UK-2026-102889,2026-04-13,South,Bengaluru,Mirrorless Camera Lite,Electronics,1,28728,28728,CUST-54209,Marketplace
UK-2026-101084,2026-02-14,East,Guwahati,Power Bank 20000mAh,Electronics,1,1886,1886,CUST-63358,App
UK-2026-104173,2026-06-21,North,Noida,Ultrabook Air 14,Electronics,3,28684,86052,CUST-95040,App
UK-2026-103554,2026-05-28,West,Ahmedabad,Smart Watch X2,Electronics,1,4460,4460,CUST-73757,Marketplace
UK-2026-104231,2026-06-10,South,Kochi,Leather Wallet,Fashion,1,928,928,CUST-97141,Website
UK-2026-103182,2026-05-27,Central,Raipur,Slim Fit Jeans,Fashion,2,1635,3270,CUST-30685,Website
UK-2026-103712,2026-05-23,North,Noida,Beard Grooming Kit,Beauty,1,987,987,CUST-89825,App
UK-2026-103189,2026-05-13,South,Chennai,Denim Jacket,Fashion,3,2133,6399,CUST-60679,Website
UK-2026-102845,2026-04-16,Central,Indore,Cotton Bedsheet Set,Home & Kitchen,1,1386,1386,CUST-63595,Marketplace
UK-2026-100229,2026-01-27,North,Gurugram,Cotton Bedsheet Set,Home & Kitchen,2,1465,2930,CUST-32538,Marketplace
UK-2026-104209,2026-06-22,North,Gurugram,Slim Fit Jeans,Fashion,2,1660,3320,CUST-98124,Marketplace
UK-2026-104952,2026-06-14,North,Delhi,Robot Vacuum R7,Home & Kitchen,1,19875,"19,875.00",CUST-21293,App
UK-2026-103100,2026-05-25,South,Kochi,Formal Shirt,Fashion,1,1123,1123,CUST-95433,App
UK-2026-100712,2026-01-09,North,Delhi,Mixer Grinder 750W,Home & Kitchen,1,3260,3260,CUST-80508,App
UK-2026-103656,2026-05-13,Central,Indore,Sunscreen SPF50,Beauty,1,550,550,CUST-71653,App
UK-2026-104841,2026-06-01,,Surat,Air Fryer 5L,Home & Kitchen,1,5484,5484,CUST-68364,App
UK-2026-100734,2026-02-22,West,Mumbai,Formal Shirt,Fashion,1,1093,1093,CUST-88162,Website
UK-2026-103813,2026-05-16,South,Chennai,Denim Jacket,Fashion,1,2231,2231,CUST-52993,Website
UK-2026-102024,2026-03-29,South,BLR,Running Sneakers,Fashion,1,2925,2925,CUST-28233,App
UK-2026-100279,2026-01-22,Central,Bhopal,Ethnic Dupatta,Fashion,2,479,958,CUST-40819,Website
UK-2026-103782,2026-05-18,North,Chandigarh,Formal Shirt,Fashion,1,1098,1098,CUST-19427,Website
UK-2026-100304,2026-01-16,West,Mumbai,Cycling Helmet,Sports,1,1632,1632,CUST-63358,Website
UK-2026-100916,2026-02-13,North,Gurugram,Face Wash Combo,Beauty,1,451,451,CUST-77599,App
UK-2026-103509,2026-05-10,West,Pune,Slim Fit Jeans,Fashion,2,1583,3166,CUST-90119,Marketplace
UK-2026-104809,2026-06-09,Central,Raipur,Ultrabook Air 14,Electronics,2,29655,59310,CUST-68769,App
UK-2026-103668,2026-05-20,West,Ahmedabad,Cotton Kurta Set,Fashion,1,1320,1320,CUST-34976,App
UK-2026-101927,2026-03-23,East,Patna,Yoga Mat Pro,Sports,1,1155,1155,CUST-19712,Website
UK-2026-104605,2026-06-23,North,Chandigarh,Eau de Parfum 100ml,Beauty,1,1974,,CUST-91439,Website
UK-2026-103657,2026-05-02,West,Surat,Vitamin C Serum,Beauty,1,689,689,CUST-47837,App
UK-2026-101234,2026-02-13,West,Surat,Cotton Bedsheet Set,Home & Kitchen,1,1400,1400,CUST-42624,Website
UK-2026-102953,2026-04-11,East,Patna,Cotton Kurta Set,Fashion,1,1274,1274,CUST-86308,App
UK-2026-100101,2026-01-02,North,Chandigarh,Robot Vacuum R7,Home & Kitchen,1,18724,18724,CUST-73811,Website
UK-2026-104166,2026-06-06,North,Gurugram,Smart Watch X2,Electronics,1,4603,4603,CUST-65675,Marketplace
UK-2026-100719,2026-01-01,South,Hyderabad,Robot Vacuum R7,Home & Kitchen,1,19916,19916,CUST-30227,Website
UK-2026-102669,2026-04-02,North,Delhi,Cycling Helmet,Sports,2,1619,3238,CUST-74292,App
UK-2026-104562,2026-06-18,South,Bengaluru,43-inch Smart TV,Electronics,1,25111,25111,CUST-91878,App
UK-2026-103899,2026-05-01,North,Noida,Slim Fit Jeans,Fashion,4,1599,6396,CUST-46361,Website
UK-2026-104186,2026-06-15,South,Kochi,Cricket Bat English Willow,Sports,1,9167,9167,CUST-86706,App
UK-2026-101639,2026-03-13,East,Kolkata,Sunscreen SPF50,Beauty,1,570,570,CUST-97049,Marketplace
UK-2026-101711,2026-03-31,South,Hyderabad,43-inch Smart TV,Electronics,1,26354,26354,CUST-17706,Marketplace
UK-2026-102534,2026-04-19,North,Noida,Noise-Cancelling Headphones,Electronics,1,8570,8570,CUST-78893,App
UK-2026-100832,2026-02-13,North,Delhi,Denim Jacket,Fashion,1,2280,2280,CUST-28808,App
UK-2026-102983,2026-04-27,East,Guwahati,Cotton Bedsheet Set,Home & Kitchen,1,1341,1341,CUST-29579,App
UK-2026-102131,21-03-26,West,Ahmedabad,Running Sneakers,Fashion,1,2798,2798,CUST-49407,Marketplace
UK-2026-101248,2026-02-21,South,Chennai,Electric Kettle 1.5L,Home & Kitchen,1,1096,1096,CUST-42433,Website
UK-2026-101709,2026-03-28,,Noida,Ethnic Dupatta,Fashion,2,496,992,CUST-27455,App
UK-2026-101852,2026-03-20,North,Gurugram,Football Size 5,Sports,1,936,936,CUST-23472,Website
UK-2026-104000,2026-05-05,Central,Indore,Slim Fit Jeans,Fashion,1,1623,1623,CUST-19159,App
UK-2026-103203,2026-05-21,South,Hyderabad,Makeup Brush Set,Beauty,4,1313,5252,CUST-98801,Website
UK-2026-102817,2026-04-27,South,Chennai,Vitamin C Serum,Beauty,1,723,723,CUST-83274,App
UK-2026-101994,2026-03-18,North,Noida,Modern Wall Clock,Home & Kitchen,1,762,762,CUST-77972,App
UK-2026-102597,2026-04-06,West,Ahmedabad,Cotton Bedsheet Set,Home & Kitchen,2,1441,2882,CUST-71665,App
UK-2026-102615,2026-04-08,South,Hyderabad,Modern Wall Clock,Home & Kitchen,1,833,833,CUST-27638,Website
UK-2026-101563,2026-03-19,East,Patna,Wireless Earbuds Pro,Electronics,1,2919,2919,CUST-39889,Website
UK-2026-100463,2026-01-18,West,Surat,Silk Saree,Fashion,1,3608,3608,CUST-42624,App
UK-2026-100929,2026-02-06,West,Pune,43-inch Smart TV,Electronics,1,25277,25277,CUST-89518,Marketplace
UK-2026-100608,2026-01-27,East,Guwahati,Denim Jacket,Fashion,1,2125,2125,CUST-76207,App
UK-2026-101875,2026-03-02,South,Bengaluru,Air Fryer 5L,Home & Kitchen,3,5241,15723,CUST-68120,Marketplace
UK-2026-102922,2026-04-01,North,Delhi,Ethnic Dupatta,Fashion,1,497,497,CUST-79681,App
UK-2026-101774,2026-03-31,South,Bengaluru,Face Wash Combo,Beauty,1,434,434,CUST-63279,App
UK-2026-102545,2026-04-10,Central,Raipur,Air Fryer 5L,Home & Kitchen,2,5571,11142,CUST-65806,Website
UK-2026-102258,2026-04-02,South,Chennai,Ultrabook Air 14,Electronics,1,29631,29631,CUST-24554,Marketplace
UK-2026-101702,2026-03-09,West,Surat,Wireless Earbuds Pro,Electronics,4,3015,12060,CUST-63648,Marketplace
UK-2026-101964,2026-03-04,East,Kolkata,Formal Shirt,Fashion,1,1097,1097,CUST-29517,App
UK-2026-103508,2026-05-31,East,Guwahati,Ethnic Dupatta,Fashion,2,509,1018,CUST-16843,App
UK-2026-103697,2026-05-25,East,Patna,43-inch Smart TV,Electronics,1,26865,26865,CUST-15012,Website
UK-2026-101695,2026-03-22,East,Guwahati,Silk Saree,Fashion,2,3635,7270,CUST-28015,Marketplace
UK-2026-100114,2026-01-04,East,Bhubaneswar,Badminton Racket Set,Sports,3,2572,7716,CUST-59444,App
UK-2026-103447,2026-05-23,North,Noida,Wireless Earbuds Pro,Electronics,1,3106,3106,CUST-38548,Marketplace
UK-2026-100306,2026-01-20,West,Surat,Wireless Earbuds Pro,Electronics,1,3029,3029,CUST-76270,Marketplace
UK-2026-104926,2026-06-03,Central,Bhopal,Cotton Kurta Set,Fashion,1,1252,1252,CUST-31549,App
UK-2026-103948,2026-05-12,East,Guwahati,Cotton Bedsheet Set,Home & Kitchen,1,1394,1394,CUST-98761,App
UK-2026-103586,2026-05-26,West,Mumbai,Power Bank 20000mAh,Electronics,1,1855,1855,CUST-47775,App
UK-2026-100284,2026-01-31,South,Bengaluru,Ethnic Dupatta,Fashion,1,490,490,CUST-27820,App
UK-2026-101659,2026-03-09,West,Ahmedabad,Denim Jacket,Fashion,1,2278,2278,CUST-56121,App
UK-2026-102928,2026-04-03,North,Chandigarh,Running Sneakers,Fashion,1,2808,2808,CUST-13624,App
UK-2026-102576,2026-04-27,West,Mumbai,43-inch Smart TV,Electronics,1,26457,26457,CUST-54714,App
UK-2026-102464,2026-04-23,West,Ahmedabad,Silk Saree,Fashion,2,3560,7120,CUST-42544,Marketplace
UK-2026-100927,2026-02-21,West,Bombay,Running Sneakers,Fashion,1,2759,2759,CUST-99396,Website
UK-2026-100336,2026-01-30,South,Chennai,Face Wash Combo,Beauty,2,463,926,CUST-12837,Website
UK-2026-102969,2026-04-10,West,Ahmedabad,Ionic Hair Dryer,Beauty,1,1911,1911,CUST-24682,App
UK-2026-102712,2026-04-28,Central,Raipur,Modern Wall Clock,Home & Kitchen,2,763,1526,CUST-85422,App
UK-2026-100469,2026-01-20,East,Patna,Foldable Treadmill T2,Sports,1,23825,23825,CUST-73548,App
UK-2026-104837,29/06/2026,Central,Bhopal,Cricket Bat English Willow,Sports,2,8862,17724,CUST-90448,Marketplace
UK-2026-100770,2026-02-05,South,Bengaluru,Beard Grooming Kit,Beauty,2,1008,2016,CUST-99941,Marketplace
UK-2026-103838,2026-05-09,West,Pune,Dinner Set 24pc,Home & Kitchen,1,2543,2543,CUST-77008,Website
UK-2026-103369,2026-05-10,West,Pune,Dinner Set 24pc,Home & Kitchen,2,2477,4954,CUST-24860,Website
UK-2026-100281,2026-01-30,West,Pune,Mixer Grinder 750W,Home & Kitchen,1,3156,3156,CUST-35517,Marketplace
UK-2026-101912,2026-03-07,West,Ahmedabad,Air Fryer 5L,Home & Kitchen,1,5261,,CUST-74809,App
UK-2026-104216,2026-06-18,South,Bengaluru,Ethnic Dupatta,Fashion,1,497,497,CUST-43364,Website
UK-2026-102280,2026-04-07,North,Chandigarh,Silk Saree,Fashion,1,3365,,CUST-28477,App
UK-2026-102380,2026-04-06,South,Hyderabad,Ethnic Dupatta,Fashion,1,499,499,CUST-95357,App
UK-2026-103140,2026-05-15,West,Ahmedabad,Formal Shirt,Fashion,1,1046,1046,CUST-83590,Website
UK-2026-100869,22/02/2026,South,Bengaluru,Foldable Treadmill T2,Sports,4,24300,97200,CUST-53037,Website
UK-2026-101623,2026-03-19,East,Patna,Dinner Set 24pc,Home & Kitchen,1,2575,2575,CUST-82203,App
UK-2026-102305,2026-04-03,West,Surat,Vitamin C Serum,Beauty,2,705,1410,CUST-52718,App
UK-2026-103541,20/05/2026,West,Mumbai,Football Size 5,Sports,1,886,886,CUST-46625,App
UK-2026-100435,2026-01-31,North,Delhi,Adjustable Dumbbells 15kg,Sports,1,4775,4775,CUST-66995,Marketplace
UK-2026-104730,2026-06-30,North,Gurugram,Eau de Parfum 100ml,Beauty,1,1976,1976,CUST-18598,Marketplace
UK-2026-101624,2026-03-11,South,Chennai,Robot Vacuum R7,Home & Kitchen,1,18998,18998,CUST-36443,Website
UK-2026-103552,2026-05-12,Central,Nagpur,Eau de Parfum 100ml,Beauty,-2,2055,6165,CUST-26216,Website
UK-2026-102033,2026-03-21,East,Bhubaneswar,Smart Watch X2,Electronics,1,4538,"4,538.00",CUST-43872,Marketplace
UK-2026-103484,2026-05-30,West,Mumbai,Modern Wall Clock,Home & Kitchen,1,832,832,CUST-89123,Website
UK-2026-102693,2026-04-06,West,Ahmedabad,Beard Grooming Kit,Beauty,1,1039,1039,CUST-74984,App
UK-2026-101681,2026-03-12,South,Chennai,Cricket Bat English Willow,Sports,1,8829,8829,CUST-26335,Marketplace
UK-2026-104004,2026-05-28,East,Patna,Vitamin C Serum,Beauty,1,665,665,CUST-16630,Marketplace
UK-2026-103550,2026-05-28,South,Bengaluru,Gym Gloves,Sports,1,489,489,CUST-65041,App
UK-2026-101934,2026-03-10,North,Delhi,Eau de Parfum 100ml,Beauty,2,1961,3922,CUST-71782,App
UK-2026-104113,2026-06-30,South,Bengaluru,Foldable Treadmill T2,Sports,1,25080,25080,CUST-36965,Website
UK-2026-103191,2026-05-31,South,Bengaluru,Dinner Set 24pc,Home & Kitchen,1,2431,2431,CUST-48587,App
UK-2026-103812,2026-05-21,East,Kolkata,43-inch Smart TV,Electronics,1,25967,25967,CUST-27765,Website
UK-2026-104212,2026-06-20,West,Pune,Football Size 5,Sports,2,913,1826,CUST-68587,App
UK-2026-101327,2026-02-21,South,Kochi,Yoga Mat Pro,Sports,2,1171,2342,CUST-86193,App
UK-2026-100622,2026-01-22,West,Ahmedabad,Smart Watch X2,Electronics,1,4302,4302,CUST-64658,Marketplace
UK-2026-100710,2026-01-18,North,Noida,Vitamin C Serum,Beauty,1,721,721,CUST-42565,App
UK-2026-103810,2026-05-18,South,Bengaluru,Cycling Helmet,Sports,1,1571,1571,CUST-97999,Marketplace
UK-2026-102609,04-04-26,West,Pune,Power Bank 20000mAh,Electronics,1,1840,1840,CUST-81409,Marketplace
